全国地方公共団体コード,都道府県名,受付_年月日,相談件数
20001,青森県,2020年3月23日,48
20001,青森県,2020年3月24日,46
20001,青森県,2020年3月25日,213
20001,青森県,2020年3月26日,246
20001,青森県,2020年3月27日,207
20001,青森県,2020年3月28日,55
20001,青森県,2020年3月29日,69
20001,青森県,2020年3月30日,293
20001,青森県,2020年3月31日,326
20001,青森県,2020年4月1日,347
20001,青森県,2020年4月2日,363
20001,青森県,2020年4月3日,792
20001,青森県,2020年4月4日,227
20001,青森県,2020年4月5日,116
20001,青森県,2020年4月6日,521
20001,青森県,2020年4月7日,340
20001,青森県,2020年4月8日,381
20001,青森県,2020年4月9日,423
20001,青森県,2020年4月10日,434
20001,青森県,2020年4月11日,144
20001,青森県,2020年4月12日,96
20001,青森県,2020年4月13日,555
20001,青森県,2020年4月14日,360
20001,青森県,2020年4月15日,347
20001,青森県,2020年4月16日,332
20001,青森県,2020年4月17日,294
20001,青森県,2020年4月18日,82
20001,青森県,2020年4月19日,51
20001,青森県,2020年4月20日,373
20001,青森県,2020年4月21日,254
20001,青森県,2020年4月22日,205
20001,青森県,2020年4月23日,214
20001,青森県,2020年4月24日,228
20001,青森県,2020年4月25日,69
20001,青森県,2020年4月26日,41
20001,青森県,2020年4月27日,272
20001,青森県,2020年4月28日,175
20001,青森県,2020年4月29日,65
20001,青森県,2020年4月30日,241
20001,青森県,2020年5月1日,127
20001,青森県,2020年5月2日,58
20001,青森県,2020年5月3日,48
20001,青森県,2020年5月4日,67
20001,青森県,2020年5月5日,61
20001,青森県,2020年5月6日,52
20001,青森県,2020年5月7日,192
20001,青森県,2020年5月8日,157
20001,青森県,2020年5月9日,71
20001,青森県,2020年5月10日,47
20001,青森県,2020年5月11日,213
20001,青森県,2020年5月12日,116
20001,青森県,2020年5月13日,120
20001,青森県,2020年5月14日,109
20001,青森県,2020年5月15日,103
20001,青森県,2020年5月16日,28
20001,青森県,2020年5月17日,23
20001,青森県,2020年5月18日,117
20001,青森県,2020年5月19日,82
20001,青森県,2020年5月20日,75
20001,青森県,2020年5月21日,76
20001,青森県,2020年5月22日,67
20001,青森県,2020年5月23日,16
20001,青森県,2020年5月24日,13
20001,青森県,2020年5月25日,103
20001,青森県,2020年5月26日,49
20001,青森県,2020年5月27日,60
20001,青森県,2020年5月28日,64
