全国地方公共団体コード,都道府県名,受付_年月日,相談件数
20001,青森県,2020年9月14日,61
20001,青森県,2020年9月13日,15
20001,青森県,2020年9月12日,16
20001,青森県,2020年9月11日,49
20001,青森県,2020年9月10日,53
20001,青森県,2020年9月9日,48
20001,青森県,2020年9月8日,69
20001,青森県,2020年9月7日,75
20001,青森県,2020年9月6日,10
20001,青森県,2020年9月5日,17
20001,青森県,2020年9月4日,60
20001,青森県,2020年9月3日,66
20001,青森県,2020年9月2日,69
20001,青森県,2020年9月1日,80
20001,青森県,2020年8月31日,99
20001,青森県,2020年8月30日,14
20001,青森県,2020年8月29日,16
20001,青森県,2020年8月28日,86
20001,青森県,2020年8月27日,87
20001,青森県,2020年8月26日,93
20001,青森県,2020年8月25日,64
20001,青森県,2020年8月24日,105
20001,青森県,2020年8月23日,14
20001,青森県,2020年8月22日,27
20001,青森県,2020年8月21日,75
20001,青森県,2020年8月20日,83
20001,青森県,2020年8月19日,102
20001,青森県,2020年8月18日,94
20001,青森県,2020年8月17日,154
20001,青森県,2020年8月16日,24
20001,青森県,2020年8月15日,35
20001,青森県,2020年8月14日,48
20001,青森県,2020年8月13日,73
20001,青森県,2020年8月12日,70
20001,青森県,2020年8月11日,124
20001,青森県,2020年8月10日,30
20001,青森県,2020年8月9日,23
20001,青森県,2020年8月8日,39
20001,青森県,2020年8月7日,79
20001,青森県,2020年8月6日,96
20001,青森県,2020年8月5日,84
20001,青森県,2020年8月4日,91
20001,青森県,2020年8月3日,106
20001,青森県,2020年8月2日,24
20001,青森県,2020年8月1日,37
20001,青森県,2020年7月31日,110
20001,青森県,2020年7月30日,99
20001,青森県,2020年7月29日,77
20001,青森県,2020年7月28日,116
20001,青森県,2020年7月27日,142
20001,青森県,2020年7月26日,23
20001,青森県,2020年7月25日,28
20001,青森県,2020年7月24日,24
20001,青森県,2020年7月23日,29
20001,青森県,2020年7月22日,125
20001,青森県,2020年7月21日,115
20001,青森県,2020年7月20日,135
20001,青森県,2020年7月19日,28
20001,青森県,2020年7月18日,34
20001,青森県,2020年7月17日,166
20001,青森県,2020年7月16日,158
20001,青森県,2020年7月15日,114
20001,青森県,2020年7月14日,132
20001,青森県,2020年7月13日,178
20001,青森県,2020年7月12日,59
20001,青森県,2020年7月11日,105
20001,青森県,2020年7月10日,190
20001,青森県,2020年7月9日,56
20001,青森県,2020年7月8日,56
20001,青森県,2020年7月7日,67
20001,青森県,2020年7月6日,66
20001,青森県,2020年7月5日,16
20001,青森県,2020年7月4日,16
20001,青森県,2020年7月3日,40
20001,青森県,2020年7月2日,46
20001,青森県,2020年7月1日,59
20001,青森県,2020年6月30日,61
20001,青森県,2020年6月29日,85
20001,青森県,2020年6月28日,8
20001,青森県,2020年6月27日,17
20001,青森県,2020年6月26日,56
20001,青森県,2020年6月25日,52
20001,青森県,2020年6月24日,40
20001,青森県,2020年6月23日,46
20001,青森県,2020年6月22日,89
20001,青森県,2020年6月21日,9
20001,青森県,2020年6月20日,15
20001,青森県,2020年6月19日,48
20001,青森県,2020年6月18日,59
20001,青森県,2020年6月17日,57
20001,青森県,2020年6月16日,72
20001,青森県,2020年6月15日,93
20001,青森県,2020年6月14日,17
20001,青森県,2020年6月13日,15
20001,青森県,2020年6月12日,57
20001,青森県,2020年6月11日,53
20001,青森県,2020年6月10日,57
20001,青森県,2020年6月9日,71
20001,青森県,2020年6月8日,108
20001,青森県,2020年6月7日,10
20001,青森県,2020年6月6日,24
20001,青森県,2020年6月5日,70
20001,青森県,2020年6月4日,80
20001,青森県,2020年6月3日,68
20001,青森県,2020年6月2日,77
20001,青森県,2020年6月1日,116
20001,青森県,2020年5月31日,9
20001,青森県,2020年5月30日,30
20001,青森県,2020年5月29日,67
20001,青森県,2020年5月28日,64
20001,青森県,2020年5月27日,60
20001,青森県,2020年5月26日,49
20001,青森県,2020年5月25日,103
20001,青森県,2020年5月24日,13
20001,青森県,2020年5月23日,16
20001,青森県,2020年5月22日,67
20001,青森県,2020年5月21日,76
20001,青森県,2020年5月20日,75
20001,青森県,2020年5月19日,82
20001,青森県,2020年5月18日,117
20001,青森県,2020年5月17日,23
20001,青森県,2020年5月16日,28
20001,青森県,2020年5月15日,103
20001,青森県,2020年5月14日,109
20001,青森県,2020年5月13日,120
20001,青森県,2020年5月12日,116
20001,青森県,2020年5月11日,213
20001,青森県,2020年5月10日,47
20001,青森県,2020年5月9日,71
20001,青森県,2020年5月8日,157
20001,青森県,2020年5月7日,192
20001,青森県,2020年5月6日,52
20001,青森県,2020年5月5日,61
20001,青森県,2020年5月4日,67
20001,青森県,2020年5月3日,48
20001,青森県,2020年5月2日,58
20001,青森県,2020年5月1日,127
20001,青森県,2020年4月30日,241
20001,青森県,2020年4月29日,65
20001,青森県,2020年4月28日,175
20001,青森県,2020年4月27日,272
20001,青森県,2020年4月26日,41
20001,青森県,2020年4月25日,69
20001,青森県,2020年4月24日,228
20001,青森県,2020年4月23日,214
20001,青森県,2020年4月22日,205
20001,青森県,2020年4月21日,254
20001,青森県,2020年4月20日,373
20001,青森県,2020年4月19日,51
20001,青森県,2020年4月18日,82
20001,青森県,2020年4月17日,294
20001,青森県,2020年4月16日,332
20001,青森県,2020年4月15日,347
20001,青森県,2020年4月14日,360
20001,青森県,2020年4月13日,555
20001,青森県,2020年4月12日,96
20001,青森県,2020年4月11日,144
20001,青森県,2020年4月10日,434
20001,青森県,2020年4月9日,423
20001,青森県,2020年4月8日,381
20001,青森県,2020年4月7日,340
20001,青森県,2020年4月6日,521
20001,青森県,2020年4月5日,116
20001,青森県,2020年4月4日,227
20001,青森県,2020年4月3日,792
20001,青森県,2020年4月2日,363
20001,青森県,2020年4月1日,347
20001,青森県,2020年3月31日,326
20001,青森県,2020年3月30日,293
20001,青森県,2020年3月29日,69
20001,青森県,2020年3月28日,55
20001,青森県,2020年3月27日,207
20001,青森県,2020年3月26日,246
20001,青森県,2020年3月25日,213
20001,青森県,2020年3月24日,46
20001,青森県,2020年3月23日,48
