全国地方公共団体コード,都道府県名,市区町村名,受付_年月日,相談件数.対応.
20001,青森県,,2020年8月16日,37
20001,青森県,,2020年8月15日,31
20001,青森県,,2020年8月14日,23
20001,青森県,,2020年8月13日,13
20001,青森県,,2020年8月12日,11
20001,青森県,,2020年8月11日,13
20001,青森県,,2020年8月10日,30
20001,青森県,,2020年8月9日,29
20001,青森県,,2020年8月8日,33
20001,青森県,,2020年8月7日,18
20001,青森県,,2020年8月6日,24
20001,青森県,,2020年8月5日,17
20001,青森県,,2020年8月4日,16
20001,青森県,,2020年8月3日,24
20001,青森県,,2020年8月2日,21
20001,青森県,,2020年8月1日,26
20001,青森県,,2020年7月31日,35
20001,青森県,,2020年7月30日,18
20001,青森県,,2020年7月29日,14
20001,青森県,,2020年7月28日,13
20001,青森県,,2020年7月27日,34
20001,青森県,,2020年7月26日,34
20001,青森県,,2020年7月25日,38
20001,青森県,,2020年7月24日,27
20001,青森県,,2020年7月23日,32
20001,青森県,,2020年7月22日,30
20001,青森県,,2020年7月21日,19
20001,青森県,,2020年7月20日,29
20001,青森県,,2020年7月19日,28
20001,青森県,,2020年7月18日,41
20001,青森県,,2020年7月17日,26
20001,青森県,,2020年7月16日,33
20001,青森県,,2020年7月15日,26
20001,青森県,,2020年7月14日,24
20001,青森県,,2020年7月13日,37
20001,青森県,,2020年7月12日,30
20001,青森県,,2020年7月11日,43
20001,青森県,,2020年7月10日,48
20001,青森県,,2020年7月9日,11
20001,青森県,,2020年7月8日,10
20001,青森県,,2020年7月7日,3
20001,青森県,,2020年7月6日,13
20001,青森県,,2020年7月5日,7
20001,青森県,,2020年7月4日,14
20001,青森県,,2020年7月3日,9
20001,青森県,,2020年7月2日,3
20001,青森県,,2020年7月1日,7
20001,青森県,,2020年6月30日,7
20001,青森県,,2020年6月29日,10
20001,青森県,,2020年6月28日,4
20001,青森県,,2020年6月27日,14
20001,青森県,,2020年6月26日,11
20001,青森県,,2020年6月25日,13
20001,青森県,,2020年6月24日,7
20001,青森県,,2020年6月23日,6
20001,青森県,,2020年6月22日,11
20001,青森県,,2020年6月21日,11
20001,青森県,,2020年6月20日,14
20001,青森県,,2020年6月19日,11
20001,青森県,,2020年6月18日,10
20001,青森県,,2020年6月17日,13
20001,青森県,,2020年6月16日,10
20001,青森県,,2020年6月15日,10
20001,青森県,,2020年6月14日,9
20001,青森県,,2020年6月13日,11
20001,青森県,,2020年6月12日,7
20001,青森県,,2020年6月11日,6
20001,青森県,,2020年6月10日,16
20001,青森県,,2020年6月9日,23
20001,青森県,,2020年6月8日,13
20001,青森県,,2020年6月7日,25
20001,青森県,,2020年6月6日,16
20001,青森県,,2020年6月5日,9
20001,青森県,,2020年6月4日,12
20001,青森県,,2020年6月3日,17
20001,青森県,,2020年6月2日,16
20001,青森県,,2020年6月1日,15
20001,青森県,,2020年5月31日,14
20001,青森県,,2020年5月30日,17
20001,青森県,,2020年5月29日,15
20001,青森県,,2020年5月28日,10
20001,青森県,,2020年5月27日,13
20001,青森県,,2020年5月26日,8
20001,青森県,,2020年5月25日,19
20001,青森県,,2020年5月24日,14
20001,青森県,,2020年5月23日,10
20001,青森県,,2020年5月22日,12
20001,青森県,,2020年5月21日,17
20001,青森県,,2020年5月20日,7
20001,青森県,,2020年5月19日,20
20001,青森県,,2020年5月18日,22
20001,青森県,,2020年5月17日,31
20001,青森県,,2020年5月16日,40
20001,青森県,,2020年5月15日,32
20001,青森県,,2020年5月14日,29
20001,青森県,,2020年5月13日,26
20001,青森県,,2020年5月12日,33
20001,青森県,,2020年5月11日,28
20001,青森県,,2020年5月10日,37
20001,青森県,,2020年5月9日,62
20001,青森県,,2020年5月8日,29
20001,青森県,,2020年5月7日,44
20001,青森県,,2020年5月6日,50
20001,青森県,,2020年5月5日,56
20001,青森県,,2020年5月4日,48
20001,青森県,,2020年5月3日,32
20001,青森県,,2020年5月2日,59
20001,青森県,,2020年5月1日,43
20001,青森県,,2020年4月30日,55
20001,青森県,,2020年4月29日,51
20001,青森県,,2020年4月28日,44
20001,青森県,,2020年4月27日,60
20001,青森県,,2020年4月26日,43
20001,青森県,,2020年4月25日,65
20001,青森県,,2020年4月24日,68
20001,青森県,,2020年4月23日,51
20001,青森県,,2020年4月22日,31
20001,青森県,,2020年4月21日,47
20001,青森県,,2020年4月20日,39
20001,青森県,,2020年4月19日,87
20001,青森県,,2020年4月18日,80
20001,青森県,,2020年4月17日,57
20001,青森県,,2020年4月16日,72
20001,青森県,,2020年4月15日,55
20001,青森県,,2020年4月14日,60
20001,青森県,,2020年4月13日,68
20001,青森県,,2020年4月12日,113
20001,青森県,,2020年4月11日,126
20001,青森県,,2020年4月10日,84
20001,青森県,,2020年4月9日,70
20001,青森県,,2020年4月8日,73
20001,青森県,,2020年4月7日,73
20001,青森県,,2020年4月6日,59
20001,青森県,,2020年4月5日,113
20001,青森県,,2020年4月4日,131
20001,青森県,,2020年4月3日,96
20001,青森県,,2020年4月2日,72
20001,青森県,,2020年4月1日,46
20001,青森県,,2020年3月31日,46
20001,青森県,,2020年3月30日,61
20001,青森県,,2020年3月29日,36
20001,青森県,,2020年3月28日,29
20001,青森県,,2020年3月27日,37
20001,青森県,,2020年3月26日,23
20001,青森県,,2020年3月25日,27
20001,青森県,,2020年3月24日,31
20001,青森県,,2020年3月23日,34
"","",,"",
※（〜4/21受付分）当日9時から翌日9時までの件数,"",,"",
※（4/22受付分）当日9時から24時までの件数,"",,"",
※（4/23〜受付分）当日0時から24時までの件数,"",,"",
